,text,size
1395,gritty,0.17709324206138338
1619,intensity,0.17709324206138338
3074,underbelly,0.17709324206138338
2797,street,0.17709324206138338
1567,icon,0.17709324206138338
666,chi,0.17709324206138338
2111,ohotmumk04,0.17709324206138338
3082,unfold,0.17709324206138338
3115,urban,0.17709324206138338
1588,include,0.17709324206138338
2631,shang,0.17709324206138338
954,devil,0.17709324206138338
1113,entry,0.17709324206138338
1364,glove,0.17709324206138338
1052,edgy,0.17709324206138338
3158,vigilante,0.17709324206138338
2749,stalk,0.17709324206138338
2601,sell,0.17709324206138338
1538,host,0.17709324206138338
1406,guardian,0.16543477707783283
2592,seek,0.16543477707783283
1102,enigmatic,0.16543477707783283
370,assassin,0.16543477707783283
1705,kid,0.16543477707783283
1914,mean,0.15074684825662468
2169,panther,0.15074684825662468
1889,marvel,0.1420514762796074
3142,vengeance,0.14107215687100022
491,bios,0.14107215687100022
477,best,0.13081657072741945
930,depth,0.1280760873378396
1420,handbook,0.1280760873378396
233,action,0.12557422201942237
866,dark,0.12557422201942237
685,city,0.11915810574386887
733,come,0.11915810574386887
2615,series,0.11555925077415558
499,black,0.11555925077415558
1541,house,0.11391575703587177
3088,universe,0.08955313682903918
2061,new,0.0654854249772334
